"region_id" "fish_id" "year_class" "station_id" "age_range" "d13c" "d18o"
"240" "JP" "2009_10_HH_T23_48L" 2009 "2009_T23" "B" -8.296938088 -0.204495391
"241" "JP" "2009_10_HH_T23_48L" 2009 "2009_T23" "C" -9.02224875 -0.148128217
"242" "JP" "2009_10_HH_T23_48L" 2009 "2009_T23" "D" -8.212639988 -0.072823091
"243" "JP" "2009_10_HH_T23_48L" 2009 "2009_T23" "E" -7.643739715 -0.063568394
"244" "JP" "2009_10_HH_T23_48L" 2009 "2009_T23" "F" -6.758748049 0.309745363
"245" "JP" "2009_10_HH_T23_48L" 2009 "2009_T23" "G" -5.578645286 0.532408431
"246" "JP" "2015_9_HH_T3_36L" 2015 "2015_T3" "A" -6.630018828 -0.461202119
"247" "JP" "2015_9_HH_T3_36L" 2015 "2015_T3" "B" -8.453115234 -0.153926571
"248" "JP" "2015_9_HH_T3_36L" 2015 "2015_T3" "C" -9.264423245 -0.060463951
"249" "JP" "2015_9_HH_T3_36L" 2015 "2015_T3" "D" -7.917646087 -0.094409963
"250" "JP" "2015_9_HH_T3_36L" 2015 "2015_T3" "E" -6.917973259 0.250693586
"251" "JP" "2015_9_HH_T3_36L" 2015 "2015_T3" "F" -5.871984512 0.433639768
"252" "JP" "2015_9_HH_T3_36L" 2015 "2015_T3" "G" -5.405460131 0.37073968
"253" "JP" "2015_9_HH_T3_37R" 2015 "2015_T3" "A" -6.558040614 0.028769706
"254" "JP" "2015_9_HH_T3_37R" 2015 "2015_T3" "B" -10.09094192 -0.649491839
"255" "JP" "2015_9_HH_T3_37R" 2015 "2015_T3" "C" -9.08171738 -0.358326718
"256" "JP" "2015_9_HH_T3_37R" 2015 "2015_T3" "D" -8.389482437 -0.504322194
"257" "JP" "2015_9_HH_T3_37R" 2015 "2015_T3" "E" -7.19265734 -0.450723746
"258" "JP" "2015_9_HH_T3_37R" 2015 "2015_T3" "F" -6.404349871 -0.306106127
"259" "JP" "2015_9_HH_T3_37R" 2015 "2015_T3" "G" -5.909390131 -0.135503544
"260" "JP" "2015_9_HH_T3_38L" 2015 "2015_T3" "A" -6.482281624 -0.014108669
"261" "JP" "2015_9_HH_T3_38L" 2015 "2015_T3" "B" -8.106192803 -0.127917074
"262" "JP" "2015_9_HH_T3_38L" 2015 "2015_T3" "C" -8.490909106 -0.395368092
"263" "JP" "2015_9_HH_T3_38L" 2015 "2015_T3" "D" -7.066696963 -0.109445982
"264" "JP" "2015_9_HH_T3_38L" 2015 "2015_T3" "E" -5.941291986 -0.04614819
"265" "JP" "2015_9_HH_T3_38L" 2015 "2015_T3" "F" -4.940150001 0.255199733
"266" "JP" "2015_9_HH_T3_38L" 2015 "2015_T3" "G" -4.061020278 0.311810506
