"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"113" 113 "Line43_rerun" "2017-12-13" 5 6 29 7 3 4 "CL-S / 2064 / L / 6C" "10.1" 8902.7 2739597.4 20287.9 9852054 8851.1 91.8
"114" 114 "Raster43_rerun" "2017-12-13" 5 6 30 8 4 4 "CL-S / 2064 / L / 6C" "10.1" 16858.4 2608076 21067.8 7826903.4 14058.5 82.5
"115" 115 "Line44_rerun" "2017-12-13" 5 6 31 9 3 2 "WF-B / 3876 / R / 6D" "13.5" 7682.3 3214335.7 20562.7 10777217.9 15910.4 161.6
"116" 116 "Raster44_rerun" "2017-12-13" 5 6 32 10 4 2 "WF-B / 3876 / R / 6D" "13.5" 5256.6 3266569 20879.4 13056534.8 14041.2 106.5
"117" 117 "MACS-3_18" "2017-12-13" 5 6 33 11 1 NA NA NA 161845.2 1582587 736109.9 11390883.5 105843.5 71316.9
"118" 118 "Blank_18" "2017-12-13" 5 6 34 12 2 NA NA NA 380.4 7653 19849.6 10227.4 109 67.4
"119" 119 "Line45_rerun" "2017-12-13" 5 6 35 13 3 1 "WF-S / 3804 / L / 6E" "10" 19971.4 3761480.7 21164.1 10986186.4 14447.1 158.2
"120" 120 "Raster45_rerun" "2017-12-13" 5 6 36 14 4 1 "WF-S / 3804 / L / 6E" "10" 6112.2 3265322 20874.9 17518913.3 16273.1 103
"121" 121 "Line46_rerun" "2017-12-13" 5 6 37 15 3 6 "HB-S / 3834 / L / 6F" "12" 23904.5 3969792.7 21052.2 14114278.9 42755.4 122.9
"122" 122 "Raster46_rerun" "2017-12-13" 5 6 38 16 4 6 "HB-S / 3834 / L / 6F" "12" 7638.8 3363990.5 20699.9 12894188.9 18070.4 82.6
"123" 123 "Line47_rerun" "2017-12-13" 5 6 39 17 3 5 "CL-B / 1080 / L / 6G" "18.5" 1883.4 3228034.2 19793.8 22835818.8 28169.8 91.6
"124" 124 "Raster47_rerun" "2017-12-13" 5 6 40 18 4 5 "CL-B / 1080 / L / 6G" "18.5" 2726.1 2847106.6 20396.8 12077175.5 14220.7 113.9
"125" 125 "Line48_rerun" "2017-12-13" 5 6 41 19 3 7 "HB-B / 3639 / L / 6H" "17" 3094.3 3491187.8 19788 11080137.6 12447.4 84.9
"126" 126 "Raster48_rerun" "2017-12-13" 5 6 42 20 4 7 "HB-B / 3639 / L / 6H" "17" 1911.3 3000353.9 20578 10986304.5 15012.4 248.8
"127" 127 "MACS-3_19" "2017-12-13" 5 6 43 21 1 NA NA NA 154494.8 1521381.9 719399.5 11478224.2 104876.9 76023.9
"128" 128 "Blank_19" "2017-12-13" 5 6 44 22 2 NA NA NA 383.1 7764.3 19721.7 11936.2 114.4 78.3
"129" 129 "MACS-3 20" "2017-12-13" 6 7 1 1 1 NA NA NA 141100.2 1396271.7 644671.2 10376149.8 94337.9 64763.6
"130" 130 "Blank2059" "2017-12-13" 6 7 2 2 2 NA NA NA NA NA NA NA NA NA
"131" 131 "Line49" "2017-12-13" 6 7 3 3 3 3 "EF / 167 / L / 7A" "16" 3165.9 3952866.7 20049.3 14729965.6 13410.6 82
"132" 132 "Raster49" "2017-12-13" 6 7 4 4 4 3 "EF / 167 / L / 7A" "16" 1611.4 2976631.8 20693.1 10348780.7 25228.8 84.7
"133" 133 "Line50" "2017-12-13" 6 7 5 5 3 1 "WF-S / 1124 / L / 7B" "11" 9119.9 3393231.1 21324.8 11102437.1 20420.4 229
"134" 134 "Raster50" "2017-12-13" 6 7 6 6 4 1 "WF-S / 1124 / L / 7B" "11" 5196.1 2798889.3 21076.4 7340547.6 13532.5 132.5
"135" 135 "Line51" "2017-12-13" 6 7 7 7 3 2 "WF-B / 1140 / R / 7C" "19" 7134.7 3666373.1 20126.3 11582061 17976.3 109.9
"136" 136 "Raster51" "2017-12-13" 6 7 8 8 4 2 "WF-B / 1140 / R / 7C" "19" 6925.4 2705114.7 20558.6 10179671.6 12274.1 152.1
"137" 137 "Line52" "2017-12-13" 6 7 9 9 3 8 "AB / 1802 / L / 7D" "11.3" 17734.6 3134555.7 20742.1 10748251.4 9589.5 119.6
"138" 138 "Raster52" "2017-12-13" 6 7 10 10 4 8 "AB / 1802 / L / 7D" "11.3" 17038.8 2881426.4 20817.6 12588894.2 13146.3 103.9
"139" 139 "MACS-3 21" "2017-12-13" 6 7 11 11 1 NA NA NA 143472 1459825.7 673199.8 10590551.1 93530.5 67471
"140" 140 "Blank21" "2017-12-13" 6 7 12 12 2 NA NA NA 361 7715.1 19809.5 10020 111 74.4
"141" 141 "Line53" "2017-12-13" 6 7 13 13 3 4 "CL-S / 2055 / R / 7E" "11.2" 4271.1 3219491 21172.7 8871187.2 19681.9 149.7
"142" 142 "Raster53" "2017-12-13" 6 7 14 14 4 4 "CL-S / 2055 / R / 7E" "11.2" 4011.7 3098778.2 20517.2 12968900.9 15132.8 223.4
"143" 143 "Line54" "2017-12-13" 6 7 15 15 3 6 "HB-S / 418 / R / 7F" "12.5" 6732.4 3336028.3 19849.8 13730778.7 12973.5 137.5
"144" 144 "Raster54" "2017-12-13" 6 7 16 16 4 6 "HB-S / 418 / R / 7F" "12.5" 4314.3 2783389.6 20268.9 11832541.2 11729.2 100.9
"145" 145 "Line55" "2017-12-13" 6 7 17 17 3 7 "HB-B / 406 / L / 7G" "14.3" 2757.1 3166291.8 19687.5 13442159.9 16649.3 180.4
